director,TV-MA,TV-14,PG-13,PG,R,TV-PG,G,TV-Y,TV-Y7,TV-G
Brad Anderson,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Irwin Winkler,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garry Marshall,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Najwa Najjar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michelle Bello,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Daniel Markowicz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen Winter,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ram Gopal Varma,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuval Adler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quentin Tarantino,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Clay Glen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Augustine Frizzell,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajiv Chilaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ainsley Gardiner,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Briar Grace-Smith,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seyi Babatope,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Ingari,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulaziz Alshlahei,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edward Drake,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sita Likitvanichkul,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jetarin Ratanaserikiat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apirak Samudkitpaisan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanabodee Uawithya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adirek Wattaleela,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofia Coppola,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Colin Trevorrow,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Condon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Slade,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Weitz,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catherine Hardwicke,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hadrah Daeng Ratu,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ash Brannon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Buck,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto De Feo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paolo Strippoli,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semi Chellas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
